"","out_B14.5.fq.gz.bam","out_B15.5.fq.gz.bam","out_B17.5.fq.gz.bam","out_B20.fq.gz.bam","out_B34.fq.gz.bam","out_C14.5.fq.gz.bam","out_C15.5.fq.gz.bam","out_C17.5.fq.gz.bam","out_C20.fq.gz.bam","out_C34.fq.gz.bam"
"MSTRG.688",379,472,611,844,771,382,362,476,573,363
"MSTRG.689",5,5,10,11,6,6,7,0,11,9
"MSTRG.690",0,0,1,0,1,0,0,0,0,0
"MSTRG.691",12,8,11,12,6,14,14,18,11,25
"MSTRG.692",75,92,162,140,97,121,158,17,143,145
"MSTRG.693",463,230,153,63,15,167,101,41,66,10
"MSTRG.694",0,0,0,0,0,0,0,0,0,0
"MSTRG.695",22,41,62,19,97,15,43,21,39,24
"MSTRG.696",6,4,1,4,4,13,13,0,8,2
"MSTRG.697",292,233,185,200,125,299,189,148,174,273
"MSTRG.698",237,279,456,667,1879,282,351,518,679,1486
"MSTRG.699",1,1,1,0,2,3,1,0,1,1
"MSTRG.700",3,1,2,3,3,2,1,8,3,19
"MSTRG.701",20,27,21,30,20,7,1,6,4,5
"MSTRG.702",5,5,8,6,1,1,0,0,0,1
"MSTRG.703",1181,855,536,462,249,447,420,143,413,471
"MSTRG.704",115,104,100,101,67,73,109,87,61,44
"MSTRG.705",0,2,1,2,2,0,0,0,0,1
"MSTRG.706",0,0,0,1,0,0,0,0,0,0
"MSTRG.707",89,52,67,62,71,58,60,36,39,86
"MSTRG.708",739,497,474,366,323,454,447,247,369,655
"MSTRG.709",21,6,7,12,6,15,8,5,20,8
"MSTRG.710",17,19,15,15,24,33,30,26,19,29
"MSTRG.711",1,1,0,0,0,0,0,0,0,1
"MSTRG.712",548,444,517,380,328,563,404,363,391,356
"MSTRG.713",364,384,384,415,293,489,356,369,562,409
"MSTRG.714",12,21,20,14,18,5,19,15,12,34
"MSTRG.715",304,248,71,88,47,211,168,53,97,175
"MSTRG.716",31,43,22,32,16,20,32,10,30,18
"MSTRG.717",0,0,0,0,0,0,0,0,0,0
"MSTRG.718",1087,508,361,251,86,508,282,111,292,99
"MSTRG.719",3,4,2,1,1,6,4,2,1,5
"MSTRG.720",0,0,0,0,0,0,1,0,1,0
"MSTRG.721",7,7,4,14,4,8,10,4,10,1
"MSTRG.722",21,14,27,6,16,25,9,9,19,86
"MSTRG.723",0,0,0,0,0,0,0,0,0,0
"MSTRG.724",16,17,15,12,11,24,19,17,13,38
"MSTRG.725",0,0,0,0,0,0,0,0,0,0
"MSTRG.726",31,45,27,34,23,38,40,3,27,108
"MSTRG.727",0,0,0,0,0,0,0,0,0,0
"MSTRG.728",11,12,16,10,13,12,11,9,7,18
"MSTRG.729",17,12,21,33,88,10,10,14,28,246
"MSTRG.730",1079,1074,1273,1113,2874,747,866,1279,1355,985
"MSTRG.731",86,49,45,26,62,41,41,10,38,38
"MSTRG.732",3799,3850,4072,4145,3294,3109,3031,1667,2651,3619
"MSTRG.733",0,1,0,0,0,0,0,0,0,1
"MSTRG.734",35,35,45,42,20,50,49,15,38,34
"MSTRG.735",1355,1234,1057,872,395,1226,1013,939,856,376
"MSTRG.736",568,573,422,532,365,689,497,314,408,371
"MSTRG.737",70,69,81,81,81,99,61,93,77,65
"MSTRG.738",278,306,312,363,564,279,290,327,428,338
"MSTRG.739",244,178,176,156,232,183,134,123,151,127
"MSTRG.740",7,2,7,6,3,6,2,5,7,3
"MSTRG.741",564,567,415,523,359,681,491,315,404,367
"MSTRG.742",0,0,0,1,0,0,0,0,0,0
"MSTRG.743",3,0,2,1,3,2,1,2,4,19
"MSTRG.744",8,8,11,12,5,7,2,10,7,1
"MSTRG.745",0,0,0,0,0,0,0,0,0,0
"MSTRG.746",633,490,358,333,146,522,360,263,270,189
"MSTRG.747",500,366,285,307,250,589,365,116,331,373
"MSTRG.748",5,10,6,18,80,6,9,20,15,17
"MSTRG.749",55,63,48,44,53,48,51,31,30,93
"MSTRG.750",0,0,2,0,0,0,0,1,3,0
"MSTRG.751",0,0,0,0,137,2,0,0,0,553
"MSTRG.752",67,47,23,23,24,99,50,45,44,44
"MSTRG.753",17,14,3,12,8,26,15,6,14,24
"MSTRG.754",2595,2424,2237,2398,2709,3501,2426,2153,2797,3156
"MSTRG.755",36,33,32,30,43,33,42,24,46,30
"MSTRG.756",28,40,58,65,57,33,37,21,34,178
"MSTRG.757",1550,1068,918,812,594,1835,980,340,559,630
"MSTRG.758",4229,3820,4143,4653,3896,5833,4049,4500,4899,4952
"MSTRG.759",9,4,3,3,2,8,0,1,4,4
"MSTRG.760",352,250,287,233,101,272,194,162,197,136
"MSTRG.761",1960,1888,1955,1694,1241,2132,2425,2105,2305,548
"MSTRG.762",498,275,186,123,76,251,183,67,156,67
"MSTRG.763",163,191,154,202,140,150,145,221,142,109
"MSTRG.764",258,233,151,128,92,139,111,102,71,55
"MSTRG.765",539,483,535,660,828,488,462,646,661,480
"MSTRG.766",3071,2400,2428,2262,5439,2278,2594,3128,3159,5100
"MSTRG.767",350,255,275,292,192,285,243,252,245,154
"MSTRG.768",357,361,332,347,280,266,289,277,314,229
"MSTRG.769",978,875,899,852,626,792,875,880,957,716
"MSTRG.770",0,0,0,0,0,0,0,0,0,0
"MSTRG.771",93,103,95,79,121,59,99,123,104,138
"MSTRG.772",4,5,9,5,1,1,6,10,7,5
"MSTRG.773",21,31,41,35,22,38,34,38,55,28
"MSTRG.774",1186,1413,1384,1426,816,1040,1205,1541,1094,410
"MSTRG.775",643,691,695,689,857,568,689,711,741,1062
"MSTRG.776",3,3,3,3,0,4,6,4,2,9
"MSTRG.777",27,30,12,25,181,13,21,15,35,102
"MSTRG.778",152,157,169,202,164,128,211,140,222,105
